id_plant;nom_plant;id_espece;nom_espece
1;4201;1;POIVRON
2;4201 BIO;2;POIVRON BIO
3;ABACUS;3;CHOU-BRUXELLES
4;ABACUS BIO;4;CHOU-BRUXELLES BIO
5;ABAGO;5;LAITUE
6;ABELIE;6;BATAVIA BLONDE
7;ABELLINA;7;LAITUE
8;ABRICOT CAPUCINE BIO;8;TOMATE BIO
9;ABRUZZY;9;CHOU-FLEUR
10;ABSINTHE;10;ABSINTHE
11;ABSINTHE G.F.;11;ABSINTHE
12;A CARDE BLANCHE 3 BIO;12;POIREE VERTE BIO
13;ACHILLE;13;POIVRON
14;ACHILLE BIO;14;POIVRON BIO
15;ACHILLEE MILLEFEUILLE;15;DIVERS
16;ACHILLEE MILLEFEUILLE BIO;16;DIVERS BIO
17;A CONFIRE;17;CONCOMBRE
18;A CONFIRE (PASTEQUE);18;PASTEQUE
19;ACROPOLE;19;BATAVIA BLONDE
20;ACTION;20;BETTERAVE
21;ACUARIO;21;MULTIFEUILLE BLONDE
22;ADELCO;22;CHOU-CHOUCROUTE
23;ADENDA;23;TOMATE CONSERVE
24;ADENDA BIO;24;TOMATE CONSERVE BIO
25;ADICAMP;25;ROMAINE
26;ADICAMP BIO;26;ROMAINE BIO
27;ADMIR;27;CHENE BLONDE
28;ADONA BIO;28;CHOU-FLEUR BIO
29;ADORABEL;29;BATAVIA BLONDE
30;ADVISOR;30;TOMATE CONSERVE
31;AEROSPACE;31;CHOU-FLEUR
32;AFERDITA;32;LAITUE
33;AFERDITA BIO;33;LAITUE BIO
34;AFINA PG/NPG;34;CELERI A COUPER
35;AGASTACHE;35;AGASTACHE
36;AGASTACHE G.F.;36;AGASTACHE
37;AGORA;37;TOMATE
38;AGUADULCE;38;FEVE
39;AIL DE CHINE;39;AROMATIQUE
40;AIL DE L'OURS (CIBOULE);40;CIBOULE
41;AIOLOS;41;CONCOMBRE
42;AKINEN;42;CHOU-FLEUR
43;AKITO;43;CONCOMBRE
44;AKITO BIO;44;CONCOMBRE BIO
45;ALADIN BIO;45;MELON BIO
46;ALAMBIQUE;46;CHOU-FLEUR
47;ALARIC;47;HARICOT
48;ALASKA;48;CHOU-FRISE
49;ALASKA BIO;49;CHOU-FRISE BIO
50;ALBARUS;50;CHOU-BRUXELLES
51;ALBINA VEREDUNA;51;BETTERAVE
52;ALBORADA BIO;52;SUCRINE BIO
53;ALBY;53;POIVRON
54;ALCALINE;54;CHENE ROUGE
55;ALCAZAR;55;CONCOMBRE
56;ALCIRA;56;SUCRINE
57;ALDENTE;57;COURGE
58;ALIGOTE;58;TOMATE
59;ALIGOTE BIO;59;TOMATE BIO
60;ALMA;60;SCAROLE
61;ALMA BIO;61;SCAROLE BIO
62;ALMUDEN;62;POIVRON
63;ALMUDEN BIO;63;POIVRON BIO
64;ALONIX;64;CHENE ROUGE
65;ALONIX BIO;65;CHENE ROUGE BIO
66;ALPEN;66;CHOU-FLEUR
67;ALTAMIRA;67;CHOU-FLEUR
68;ALTARE;68;LAITUE
69;ALTEA;69;COURGETTE
70;ALUMBRERA;70;CHENE ROUGE
71;ALVARO;71;MELON
72;ALWENNA;72;BATAVIA BLONDE
73;ALYSSE;73;AROMATIQUE
74;ALYSSE BIO;74;AROMATIQUE BIO
75;ALZEVIR;75;CHENE BLONDE
76;AMALIA;76;AUBERGINE
77;AMALIA BIO;77;AUBERGINE BIO
78;AMALTHEE;78;COURGETTE
79;AMALTHEE BIO;79;COURGETTE BIO
80;AMAPOLA;80;TOMATE
81;AMARNA;81;LAITUE
82;AMAROZA;82;BATAVIA BLONDE
83;AMAROZA BIO;83;BATAVIA BLONDE BIO
84;AMAZON;84;CHOU-LISSE
85;AMBITION;85;ECHALOTE
86;AMBITION BIO;86;ECHALOTE BIO
87;AMBOISE;87;BATAVIA ROUGE
88;AMBOISE BIO;88;BATAVIA ROUGE BIO
89;AMERIGO;89;TOMATE
90;AMORGOS;90;COURGETTE
91;AMORO;91;POTIMARRON
92;AMORO BIO;92;POTIMARRON BIO
93;AMPUIS;93;BLETTE
94;AMPUIS BIO;94;BLETTE BIO
95;AMY;95;FRISEE
96;ANACOEUR;96;TOMATE
97;ANACOEUR BIO;97;TOMATE BIO
98;ANALORA;98;LAITUE
99;ANALORA BIO;99;LAITUE BIO
100;ANALOTTA;100;LAITUE
101;ANAMIGO;101;LAITUE
102;ANANAS;102;TOMATE
103;ANANAS BIO;103;TOMATE BIO
104;ANANDRA;104;LAITUE
105;ANASTA;105;MELON
106;ANASTA BIO;106;MELON BIO
107;ANASUN;107;TOMATE
108;ANASUN BIO ;108;TOMATE BIO
109;ANAZERIA;109;LAITUE
110;ANDERSIA;110;CHOU-BROCOLI
111;ANDINE CORNUE;111;TOMATE
112;ANDINE CORNUE BIO;112;TOMATE BIO
113;ANESCA;113;LOLLO ROUGE
114;ANETH;114;ANETH
115;ANETH BIO G.F.;115;ANETH BIO
116;ANETH G.F.;116;ANETH
117;ANETH OFFICINALE BIO;117;ANETH BIO
118;ANETO;118;MELON
119;ANGELA;119;AUBERGINE
120;ANGELA BIO;120;AUBERGINE BIO
121;ANGELIQUE;121;LAITUE
122;ANGELIQUE AROMATIQUE;122;AROMATIQUE
123;ANGELIX;123;CHENE ROUGE
124;ANGELLE;124;TOMATE
125;ANIMIX;125;CHENE ROUGE
126;ANIMIX BIO;126;CHENE ROUGE BIO
127;ANIS;127;BASILIC
128;ANNA RUSSIAN;128;TOMATE
129;ANNINA;129;AUBERGINE
130;ANNINA BIO;130;AUBERGINE BIO
131;ANTAINE;131;ROUGETTE
132;ANTAINE BIO;132;ROUGETTE BIO
133;ANTEDIS;133;LAITUE
134;ANTIGONE;134;BATAVIA BLONDE
135;ANTIPASTI;135;LAITUE
136;ANTIRRHINUM MAJUS;136;FLEUR
137;ANTIVOLE;137;BATAVIA BLONDE
138;APERO;138;TOMATE
