id_uv;id_espece;nom_uv;nombre_plant_par_plateaux;nombre_graine_par_motte
1;1;Pltx 150;150;3
2;2;Pltx 240 Polystyrène;240;3
3;3;Pltx 240 STAMP plastique;240;3
4;4;Pltx 60;60;1
5;5;Pltx 150;150;4
6;6;Pltx 240 Polystyrène;240;4
7;7;Pltx 240 STAMP plastique;240;4
8;8;Pltx 96;96;1
9;9;Plateaux 176;176;5
10;10;Pltx 140;140;5
11;11;Pltx 150;150;5
12;12;Pltx 240 Polystyrène;240;5
13;13;Pltx 240 STAMP plastique;240;5
14;14;Pltx 60;60;5
15;15;Pltx 96;96;5
16;16;Plateaux 176 Bio;176;5
17;17;Pltx 150 Bio;150;5
18;18;Pltx 240 Polystyrène Bio;240;5
19;19;Pltx 240 STAMP plastique Bio;240;5
20;20;Plx 140 Bio;140;5
21;21;Plateaux 176;176;1
22;22;Pltx 140;140;1
23;23;Pltx 150;150;1
24;24;Pltx 240 Polystyrène;240;1
25;25;Pltx 240 STAMP plastique;240;1
26;26;Pltx 60;60;1
27;27;Pltx 96;96;1
28;28;Plateaux 176 Bio;176;1
29;29;Pltx 150 Bio;150;1
30;30;Pltx 240 Polystyrène Bio;240;1
31;31;Pltx 240 STAMP plastique Bio;240;1
32;32;Pltx 96;96;1
33;33;Plx 140 Bio;140;1
34;34;Plateaux 176;176;1
35;35;Pltx 120 écarté taillé trié;120;1
36;36;Pltx 140;140;1
37;37;Pltx 150 écarté taillé;150;1
38;38;Pltx 150 écarté taillé trié;150;1
39;39;Pltx 240 Polystyrène écarté taillé;240;1
40;40;Pltx 240 Polystyrène écarté taillé trié;240;1
41;41;Pltx 96 écarté taillé;96;1
42;42;Pltx 96 écarté taillé trié;96;1
43;43;Plateaux 176 Bio;176;1
44;44;Pltx 120 Bio écarté taillé;120;1
45;45;Pltx 140 Bio;140;1
46;46;Pltx 150 Bio écarté taillé;150;1
47;47;Pltx 240 Polystyrène Bio écarté taillé;240;1
48;48;Pltx 96 Bio écarté taillé;96;1
49;49;Pltx 96 Bio écarté taillé Trié;96;1
50;50;Pltx 120 greffé Beaufort;120;1
51;51;Pltx 120 greffé Beaufort écarté;120;1
52;52;Pltx 120 greffé Fortamino;120;1
53;53;Pltx 120 greffé Fortamino écarté;120;1
54;54;Pltx 120 greffé Protector;120;1
55;55;Pltx 120 greffé Protector écarté;120;1
56;56;Pltx 120 greffé STT3;120;1
57;57;Pltx 120 greffé STT3 écarté;120;1
58;58;Pltx 120 greffé STT3-E;120;1
59;59;Pltx 120 greffé STT3-E écarté;120;1
60;60;Pltx 120 écarté;120;1
61;61;Pltx 150 écarté;150;1
62;62;Pltx 168 greffé Beaufort;168;1
63;63;Pltx 18 greffé Beaufort écarté tuteuré;18;1
64;64;Pltx 18 greffé Fortamino écarté tuteuré;18;1
65;65;Pltx 18 greffé STT3 écarté tuteuré;18;1
66;66;Pltx 18 greffé STT3-E écarté tuteuré;18;1
67;67;Pltx 18 repiqué écarté;18;1
68;68;Pltx 240 Polystyrène écarté;240;1
69;69;Pltx 240 STAMP Plastique écarté;240;1
70;70;Pltx 32 greffé Beaufort;32;1
71;71;Pltx 32 greffé Beaufort écarté;32;1
72;72;Pltx 32 greffé Beaufort écarté tuteuré;32;1
73;73;Pltx 32 greffé Empérador écarté tuteuré;32;1
74;74;Pltx 32 greffé Espina écarté tuteuré;32;1
75;75;Pltx 32 greffé Fortamino;32;1
76;76;Pltx 32 greffé Fortamino écarté;32;1
77;77;Pltx 32 greffé Fortamino écarté tuteuré;32;1
78;78;Pltx 32 greffé Kaiser écarté tuteuré;32;1
79;79;Pltx 32 greffé Protector écarté tuteuré;32;1
80;80;Pltx 32 greffé STT3;32;1
81;81;Pltx 32 greffé STT3 écarté;32;1
82;82;Pltx 32 greffé STT3 écarté tuteuré;32;1
83;83;Pltx 32 greffé STT3-E;32;1
84;84;Pltx 32 greffé STT3-E écarté;32;1
85;85;Pltx 32 greffé STT3-E écarté tuteuré;32;1
86;86;Pltx 32 repiqué;32;1
87;87;Pltx 32 repiqué écarté;32;1
88;88;Pltx 32 repiqué écarté tuteuré;32;1
89;89;Pltx 48 écarté trié;48;1
90;90;Pltx 50 greffé Beaufort;50;1
91;91;Pltx 50 greffé Beaufort écarté;50;1
92;92;Pltx 50 greffé Beaufort écarté tuteuré;50;1
93;93;Pltx 50 greffé Elementa;50;1
94;94;Pltx 50 greffé Empérador écarté tuteuré;50;1
95;95;Pltx 50 greffé Espina;50;1
96;96;Pltx 50 greffé Espina écarté;50;1
97;97;Pltx 50 greffé Espina écarté tuteuré;50;1
98;98;Pltx 50 greffé Fortamino;50;1
99;99;Pltx 50 greffé Fortamino écarté;50;1
100;100;Pltx 50 greffé Fortamino écarté tuteuré;50;1
101;101;Pltx 50 greffé STT3;50;1
102;102;Pltx 50 greffé STT3 écarté;50;1
103;103;Pltx 50 greffé STT3 écarté tuteuré;50;1
104;104;Pltx 50 greffé STT3-E;50;1
105;105;Pltx 50 greffé STT3-E écarté;50;1
106;106;Pltx 50 greffé STT3-E écarté tuteuré;50;1
107;107;Pltx 50 repiqué;50;1
108;108;Pltx 50 repiqué écarté;50;1
