id_espece;nom_espece
1;POIVRON
2;POIVRON BIO
3;CHOU-BRUXELLES
4;CHOU-BRUXELLES BIO
5;LAITUE
6;BATAVIA BLONDE
7;LAITUE
8;TOMATE BIO
9;CHOU-FLEUR
10;ABSINTHE
11;ABSINTHE
12;POIREE VERTE BIO
13;POIVRON
14;POIVRON BIO
15;DIVERS
16;DIVERS BIO
17;CONCOMBRE
18;PASTEQUE
19;BATAVIA BLONDE
20;BETTERAVE
21;MULTIFEUILLE BLONDE
22;CHOU-CHOUCROUTE
23;TOMATE CONSERVE
24;TOMATE CONSERVE BIO
25;ROMAINE
26;ROMAINE BIO
27;CHENE BLONDE
28;CHOU-FLEUR BIO
29;BATAVIA BLONDE
30;TOMATE CONSERVE
31;CHOU-FLEUR
32;LAITUE
33;LAITUE BIO
34;CELERI A COUPER
35;AGASTACHE
36;AGASTACHE
37;TOMATE
38;FEVE
39;AROMATIQUE
40;CIBOULE
41;CONCOMBRE
42;CHOU-FLEUR
43;CONCOMBRE
44;CONCOMBRE BIO
45;MELON BIO
46;CHOU-FLEUR
47;HARICOT
48;CHOU-FRISE
49;CHOU-FRISE BIO
50;CHOU-BRUXELLES
51;BETTERAVE
52;SUCRINE BIO
53;POIVRON
54;CHENE ROUGE
55;CONCOMBRE
56;SUCRINE
57;COURGE
58;TOMATE
59;TOMATE BIO
60;SCAROLE
61;SCAROLE BIO
62;POIVRON
63;POIVRON BIO
64;CHENE ROUGE
65;CHENE ROUGE BIO
66;CHOU-FLEUR
67;CHOU-FLEUR
68;LAITUE
69;COURGETTE
70;CHENE ROUGE
71;MELON
72;BATAVIA BLONDE
73;AROMATIQUE
74;AROMATIQUE BIO
75;CHENE BLONDE
76;AUBERGINE
77;AUBERGINE BIO
78;COURGETTE
79;COURGETTE BIO
80;TOMATE
81;LAITUE
82;BATAVIA BLONDE
83;BATAVIA BLONDE BIO
84;CHOU-LISSE
85;ECHALOTE
86;ECHALOTE BIO
87;BATAVIA ROUGE
88;BATAVIA ROUGE BIO
89;TOMATE
90;COURGETTE
91;POTIMARRON
92;POTIMARRON BIO
93;BLETTE
94;BLETTE BIO
95;FRISEE
96;TOMATE
97;TOMATE BIO
98;LAITUE
99;LAITUE BIO
100;LAITUE
101;LAITUE
102;TOMATE
103;TOMATE BIO
104;LAITUE
105;MELON
106;MELON BIO
107;TOMATE
108;TOMATE BIO
109;LAITUE
110;CHOU-BROCOLI
111;TOMATE
112;TOMATE BIO
113;LOLLO ROUGE
114;ANETH
115;ANETH BIO
116;ANETH
117;ANETH BIO
118;MELON
119;AUBERGINE
120;AUBERGINE BIO
121;LAITUE
122;AROMATIQUE
123;CHENE ROUGE
124;TOMATE
125;CHENE ROUGE
126;CHENE ROUGE BIO
127;BASILIC
128;TOMATE
129;AUBERGINE
130;AUBERGINE BIO
131;ROUGETTE
132;ROUGETTE BIO
133;LAITUE
134;BATAVIA BLONDE
135;LAITUE
136;FLEUR
137;BATAVIA BLONDE
138;TOMATE
139;TOMATE BIO
140;TOMATE
141;TOMATE BIO
142;COURGETTE
143;COURGETTE BIO
144;SCAROLE
145;CHOU-FLEUR
146;TOMATE CONSERVE
147;TOMATE CONSERVE BIO
148;BATAVIA BLONDE
149;CHOU-FLEUR
150;COURGETTE
151;MULTIFEUILLE BLONDE
152;MULTIFEUILLE BLONDE BIO
153;MELON
154;MELON BIO
155;CACAHUETE
156;CACAHUETE
157;CHENE ROUGE
158;THYM
159;NAVET
160;THYM BIO
161;SCAROLE
162;MELON
163;MELON BIO
164;CHENE BLONDE
165;CHENE BLONDE BIO
166;TOMATE
167;TOMATE
168;SUCRINE
169;BLETTE
170;BASILIC
171;BUTTERNUT
172;BUTTERNUT BIO
173;CHOU-FLEUR
174;MELON
175;MELON BIO
176;MELON
177;MELON BIO
178;LAITUE
179;AROMATIQUE BIO
180;AROMATIQUE BIO
181;PANAIS BIO
182;CHOU-FLEUR
183;ARTICHAUT
184;ARTICHAUT BIO
185;MELON BIO
